Loc,ID,Pat,Mat,Block,Initial,Germ,Pods,NumPods,NumSeeds,EarliestGerm,EarliestFlowPod,CrossType
1.5.22,BJ,B110E,B114C,1,5,0,0,0,0,NA,NA,Nes
1.5.3,CH,R81E,P38D,1,5,2,2,8,8,132,202,Nes
1.5.4,AK,B110A,B86E,1,5,0,0,0,0,NA,NA,Nes
1.5.5,AP,R80D,P62E,1,5,0,0,0,0,NA,NA,Nes
1.5.6,CI,B110E,P64D,1,5,3,1,6,3,132,223,Nes
1.5.7,ER,122B,14A,1,5,0,0,0,0,NA,NA,Fac
1.5.8,GD,120A,337A,1,5,0,0,0,0,NA,NA,Fac
1.5.9,GT,R88F,R88I,1,2,0,0,0,0,NA,NA,Nes
1.6.1,DJ,122D,14A,1,5,2,1,4,6,139,230,Fac
1.6.10,GS,136A,122E,1,1,0,0,0,0,NA,NA,Fac
1.6.11,EH,361B,348B,1,1,1,1,32,48,139,202,Fac
1.6.12,CE,P71A,P62H,1,5,2,2,21,32,132,209,Nes
1.6.13,GB,11A,31A,1,5,1,1,8,0,132,209,Fac
1.6.14,CJ,P71A,P83D,1,5,1,0,0,0,132,230,Nes
1.6.15,FF,136A,356A,1,5,3,2,9,2,132,216,Fac
1.6.16,FZ,122E,140B,1,5,1,1,6,0,132,202,Fac
1.6.17,CV,P63A,P31C,1,5,1,1,4,0,132,209,Nes
1.6.18,EX,140A,356A,1,3,0,0,0,0,NA,NA,Fac
1.6.19,FM,129B,130A,1,5,0,0,0,0,NA,NA,Fac
1.6.2,AU,B112F,P83E,1,3,0,0,0,0,NA,NA,Nes
1.6.20,CT,P27F,B22B,1,5,0,0,0,0,NA,NA,Nes
1.6.3,DQ,14B,122B,1,5,2,0,0,0,132,230,Fac
1.6.4,CB,R83F,P64C,1,5,3,0,0,0,132,209,Nes
1.6.5,GH,122C,14C,1,5,1,1,1,0,139,230,Fac
1.6.6,DR,122E,140C,1,5,0,0,0,0,NA,NA,Fac
1.6.7,EF,129B,120B,1,5,0,0,0,0,NA,NA,Fac
1.6.8,BS,R80D,R84E,1,5,0,0,0,0,NA,NA,Nes
1.6.9,CK,Y123G,P63B,1,5,3,1,3,11,132,202,Nes
1.7.1,FT,140A,122B,1,2,1,0,0,0,139,223,Fac
1.7.10,AN,P62F,R82G,1,2,1,0,0,0,139,NA,Nes
1.7.11,CD,B110E,B88A,1,5,5,3,4,5,132,223,Nes
1.7.12,EL,122E,14C,1,5,1,1,1,0,132,230,Fac
1.7.13,EW,31A,11A,1,5,0,0,0,0,NA,NA,Fac
1.7.14,BD,B22C,P100D,1,5,1,0,0,0,146,237,Nes
1.7.15,DP,362A,361A,1,5,0,0,0,0,NA,NA,Fac
1.7.16,AM,Y124D,R84H,1,1,0,0,0,0,NA,NA,Nes
1.7.17,BN,P63J,R88G,1,5,0,0,0,0,NA,NA,Nes
1.7.18,EA,311A,362A,1,5,0,0,0,0,NA,NA,Fac
1.7.19,CW,B88B,P64B,1,5,1,1,5,12,132,216,Nes
1.7.2,EZ,122B,140A,1,3,1,1,3,5,132,209,Fac
1.7.3,BR,P62G,Y125G*,1,5,3,2,10,26,132,209,Nes
1.7.4,FN,120B,337A,1,5,0,0,0,0,NA,NA,Fac
1.7.5,FQ,357B,331B,1,5,0,0,0,0,NA,NA,Fac
1.7.6,DH,12A,357A,1,3,1,1,2,5,132,216,Fac
1.7.7,FX,122E,136A,1,5,3,1,3,0,132,223,Fac
1.7.8,CA,R85A,P62B,1,5,1,0,0,0,139,NA,Nes
1.7.9,FC,140B,122C,1,5,0,0,0,0,167,NA,Fac
1.8.1,GM,P62I,R82D,1,5,1,0,0,0,167,244,Nes
1.8.10,AE,R80H,P31L,1,5,3,3,35,34,132,202,Nes
1.8.11,EY,140B,356A,1,5,2,0,0,0,132,NA,Fac
1.8.12,EJ,122D,136A,1,2,0,0,0,0,NA,NA,Fac
1.8.2,BQ,P71A,R85B,1,2,0,0,0,0,NA,NA,Nes
1.8.3,DV,120A,139A,1,5,0,0,0,0,NA,NA,Fac
1.8.4,ET,337A,130A,1,3,1,1,1,2,132,237,Fac
1.8.5,FG,14A,356A,1,5,1,0,0,0,132,223,Fac
1.8.6,FI,139C,330A,1,4,2,2,33,0,132,209,Fac
1.8.7,ZZ,misc2,misc2,1,5,0,0,0,0,NA,NA,Mis
1.8.8,BT,R83F,R85I,1,3,2,2,22,37,132,216,Nes
1.8.9,CS,P63A,P31M,1,5,0,0,0,0,NA,NA,Nes
